1,1
2,1
4,1
8,2
16,6
32,39
64,287
128,2579
256,4377
512,24420
1024,168596
2048,1395548
1,1
2,1
4,1
8,2
16,6
32,38
64,331
128,2523
256,4709
512,23862
1024,166882
2048,1401510
