1,1             0.001
2,1             0.001
4,1             0.001
8,1             0.001
16,5            0.005
32,40           0.04
64,366          0.366
128,2303        2.303
256,4022        4.022
512,19083      19.083
1024,120638   120.638
2048,849750   849.750
4096,5931847 5931.847
